,AdjustmentPeriod,ShortSig,LongSig,TotalCap,Capital,NumOfStocks,Position,SR
141,40,150,160,210965.2224912,81.18967320000047,1026.0,210884.032818,0.025395338845848235
142,60,150,160,209495.76255205,50.50968504999037,1019.0,209445.252867,0.025215576908224343
143,80,150,160,209245.3951328,5.68225879999693,1018.0,209239.71287400002,0.025005254566571468
144,20,10,180,163713.2033087,1747.688824699995,788.0,161965.514484,0.019880669203078332
145,40,10,180,169962.5653862,5941.650972199993,798.0,164020.914414,0.02016370187534708
146,60,10,180,169844.59194595,68.55772794999575,826.0,169776.03421800002,0.020196968740753444
147,80,10,180,179652.84803115,10.894149149995727,874.0,179641.953882,0.022291066387948477
148,20,30,180,163030.6250774,1681.730572399996,785.0,161348.894505,0.019613868624387683
149,40,30,180,169284.92898260002,5880.634547599992,795.0,163404.29443500002,0.020050312808892135
150,60,30,180,166766.4899018,73.55557879999651,811.0,166692.934323,0.0192896237186979
151,80,30,180,177391.4396781,10.425719099995277,863.0,177381.013959,0.021763876235227235
152,20,50,180,162013.66723974998,1692.4726997499963,780.0,160321.19454,0.01948729827017368
153,40,50,180,169286.16395885003,5881.869523849993,795.0,163404.29443500002,0.020050655005323537
154,60,50,180,167764.2238804,43.589592399996036,816.0,167720.634288,0.019566581994993552
155,80,50,180,177184.91323005,9.439264049994307,862.0,177175.47396600002,0.02175758048261913
156,20,70,180,162013.66723974998,1692.4726997499963,780.0,160321.19454,0.01948729827017368
157,40,70,180,169286.16395885003,5881.869523849993,795.0,163404.29443500002,0.020050655005323537
158,60,70,180,167764.2238804,43.589592399996036,816.0,167720.634288,0.019566581994993552
159,80,70,180,177184.91323005,9.439264049994307,862.0,177175.47396600002,0.02175758048261913
160,20,90,180,163030.6250774,1681.730572399996,785.0,161348.894505,0.019613868624387683
161,40,90,180,169284.92898260002,5880.634547599992,795.0,163404.29443500002,0.020050312808892135
162,60,90,180,166766.4899018,73.55557879999651,811.0,166692.934323,0.0192896237186979
163,80,90,180,177391.4396781,10.425719099995277,863.0,177381.013959,0.021763876235227235
164,20,110,180,163030.6250774,1681.730572399996,785.0,161348.894505,0.019613868624387683
165,40,110,180,169284.92898260002,5880.634547599992,795.0,163404.29443500002,0.020050312808892135
166,60,110,180,166766.4899018,73.55557879999651,811.0,166692.934323,0.0192896237186979
167,80,110,180,177391.4396781,10.425719099995277,863.0,177381.013959,0.021763876235227235
168,20,130,180,163030.6250774,1681.730572399996,785.0,161348.894505,0.019613868624387683
169,40,130,180,169284.92898260002,5880.634547599992,795.0,163404.29443500002,0.020050312808892135
170,60,130,180,166766.4899018,73.55557879999651,811.0,166692.934323,0.0192896237186979
